reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,day_diff,helpful_yes,total_vote,processed_text
A25TM6Q7ROIR0Y,B007WTAJTO,ABC317,"[0, 0]",This item is great!  I can't believe how small it is.  Imagine 64gb this size back in the 70's when they had whole buildings full of computers that couldn't pack this much space!  Great item.,5,Great Product!!!,1381881600,16-10-2013,418,0,0,item great believe small imagine size back whole building full computer could pack much space great item
A2QVJ0I3RAQHTS,B007WTAJTO,Abdul Purnell Askew SR,"[0, 0]","I've been trying for a while to get a hold of a 32GB Micro SD for my phone and tablet.  It's pretty fast compared to the 16GB cards I've been using.  I really saw the performance boost with my phone, which I have many apps, pictures, music, and other documents on.  The phone boots fully stable in about 2 mins as apposed to 5-6 mins.  My computer also can write to these cards much faster than the 16GB ones I was using.  If you phone, tablet or any other device can support it I recommend you purchase these.  Also you pay like half the price using Amazon as opposed to other retail stores who's price is at least double or more.  I've seen these same cards going for about $72 in my area.",5,Great Micro SD card,1365984000,15-04-2013,602,0,0,try get hold micro phone tablet pretty fast compare card use really saw performance boost phone many apps picture music document phone boot fully stable min appose min computer also write card much fast one use phone tablet device support recommend purchase also pay like half price use amazon oppose retail store price least double see card go area
AF24M1HKIZ7QC,B007WTAJTO,"Abdulrahman J. Alrashed ""dr34m3r""","[0, 0]","I bought 2 of those SanDisk 32 GB microSD , used them on my Galaxy Note and Galaxy S4First one , my phone started saying it was removed , then recognize it again :) then diedI thought it's just a luck , plugged in the 2nd one :) stayed for about 2 months and died suddenly ! and lost everythingnever buying from SanDisk again .. ever",1,Bought 2 :) Died,1375488000,08-03-2013,640,0,0,buy sandisk microsd use galaxy note galaxy sfirst one phone start say remove recognize diedi think luck plug one stay month die suddenly lose everythingnever buy sandisk ever
A1KIF9Z5VFPH7H,B007WTAJTO,"Abel Feliciano ""Ace Master""","[0, 0]",The memory card is an excellent condition and work as described. Dependable and easy to use. An excellent choice for the enthusiast who requires more storage.,4,Excellent product.,1347321600,09-11-2012,759,0,0,memory card excellent condition work describe dependable easy use excellent choice enthusiast require storage
A747BB4QM2SWW,B007WTAJTO,A. Bell,"[0, 0]",I've got a couple of these in varying sizes. I've had no problems and no complaints about speed. I always end up buying more because the prices are so low for what you get.,5,several sizes. zero issues.,1376784000,18-08-2013,477,0,0,get couple vary size problem complaint speed always end buy price low get
A228CMRTDIS8S9,B007WTAJTO,A. Berrios,"[0, 0]",I only had 8 gigs of memory on my Note 2 and was running out of room. Now I have so much memory space available I don't know what to do with it.,5,Great card,1399680000,05-10-2014,64,0,0,gig memory note run room much memory space available know
A2OP1LOKO6P5W4,B007WTAJTO,Abe The Babe,"[0, 0]",Bought it for my Surface Pro. I've had it in there for a few months and I've had no problems. Very fast and stable.,5,Works great!,1375142400,30-07-2013,496,0,0,buy surface pro month problem fast stable
AKVRSGKPY2C4R,B007WTAJTO,Abhi gautam,"[1, 1]",I would recommend this card to everyone.Data Transfer speeds - excellent with this card on my Galaxy S2.  Didn't need to format the card or anything. I am 100% satisfied.,5,100% satisfied. Recommend to all.,1349568000,10-07-2012,881,1,1,would recommend card everyonedata transfer speed excellent card galaxy need format card anything satisfy
A1FKE13D77L3Y3,B007WTAJTO,Abraham Arturo Meza Marin,"[0, 0]","I bougth this micro SD card after some trubles with other that i got from Kingston, i can tell that SanDisk is other quality, this is the best, my i9300 phone can read a 64GB very fast, the dta transfer speed from my pc to my is amazing, if you are looking for additional storage to you phone, for music, pictures and other type of files, this is for you.Pros-Very good quality materials of construction-Amazing speedUpdate after one year this memory is damaged I can not delete or put new files on it, I can not format this memory, I tried to format with my phone, with my pc, with a camera and nothing, now this is like a 64gb cd, the data in the memory is only available to read but I can not move, or delete it, I bought this memory to be used to backup all my data of my android device but now is only a readable memory I can not write data on it any more, I hope sandisk make a better products in the future!!! Total disagree I will buy a Samsung memory card expected a better quality.",1,Stop working after 1 year,1361232000,19-02-2013,657,0,0,bougth micro card trubles get kingston tell sandisk quality best phone read fast dta transfer speed amaze look additional storage phone music picture type file youprosvery good quality material constructionamazing speedupdate one year memory damage delete put new file format memory try format phone camera nothing like data memory available read move delete buy memory use backup data android device readable memory write data hope sandisk make good product future total disagree buy samsung memory card expect good quality
A31SZHOH3EMTVF,B007WTAJTO,Abraham,"[0, 0]","Using this in a contout gps camera,  don't waste your time buying any other brand it will be a waste. Buy the best to start with.",5,crazy fast,1376265600,08-12-2013,365,0,0,use contout gps camera waste time buy brand waste buy best start
A3433V6H1NDFGP,B007WTAJTO,"Abraham Kovler ""ripvanlink""","[0, 0]","This is a fantastic little drive, has all the gigabytes it says, works in all ways I can discern and I use it to hold the flac recordings I play on my excellent Fiio X5 digital audio player. This is the real thing and not one of the fakes that, evidently, are out there.",5,This is a fantastic little drive,1404864000,07-09-2014,92,0,0,fantastic little drive gigabyte say work way discern use hold flac recording play excellent fiio digital audio player real thing one fake evidently
A27PGCCMGJSH3X,B007WTAJTO,Abram Vargas,"[0, 0]","I am very happy with this Micro SD.  I could tell the difference in the response time in my BB curve as well as my Asus tablet.  If you want something that can transfer files Photos, Videos, and Music faster this is the Micro SD card for you. Now I will say this there are faster cards out there but not at this price.  This does the trick for my devices.  Now it you are a Professional Photographer you might want to go with the Ultra 3 Micro SD but if you are an everyday user this will work wonders for you device.",5,Verry happy,1344816000,13-08-2012,847,0,0,happy micro could tell difference response time curve well asus tablet want something transfer file photo video music fast micro card say fast card price trick device professional photographer might want ultra micro everyday user work wonder device
A28PQ9EX1MDCXP,B007WTAJTO,A. Brattoli,"[0, 0]","I've purchased several of these little babies over the years, and I always buy SanDisk. I've never had one fail, the price is great for the amount of storage you get.",5,SanDisk quality,1394409600,03-10-2014,66,0,0,purchase several little baby year always buy sandisk never one fail price great amount storage get
A1X1FX3NSOFCT3,B007WTAJTO,"Abused Commuter ""abused_commuter""","[0, 1]","Ordered this for a Galaxy S3.  Lasted a few months and then broke.  Is not accessible on several different PC's.Says ""limited lifetime"" warranty - BS.  You have ONE MONTH for Eco Zone.  Not only did I lose pictures but now I am out $$ because of a crappy return policy.In the future I will be buying Kingston, not Sandisk.-----------------Update:  Amazon Customer service made good and refunded my purchase price.  I still will not be buying any more Sandisk memory cards however...",1,Beware... goes bad and takes your pics with it,1374278400,20-07-2013,506,0,1,order galaxy last month break accessible several different pcssays limit lifetime warranty one month eco zone lose picture crappy return policyin future buy kingston sandiskupdate amazon customer service make good refund purchase price still buy sandisk memory card however
A3RV1L35IPTV61,B007WTAJTO,abushaheed,"[0, 0]","more like 8mb/s in my Note 10.1 and that's using SanDisk's own app. A bit faster in my Note II, but still a disappointment for devices with quad core processors. Not sure if it's the card or the device, so benefit of the doubt and four stars.",4,Not bad,1357430400,01-06-2013,555,0,0,like mb note use sandisks app bite fast note still disappointment device quad core processor sure card device benefit doubt four star
A2RRKGVZR7YSNJ,B007WTAJTO,"A. Bystricky ""Tony B.""","[0, 0]","not much to say other than plug and play, good quality and fits a lot of video ...good good good",5,good,1392595200,17-02-2014,294,0,0,much say plug play good quality fit lot video good good good
AGX2K0FMS0IVL,B007WTAJTO,AC500Driver,"[0, 0]","A new camcorder required fast SD (micro) and SanDisk products have always provided first class service, so the extra cost is well worth it.",5,"Fast, very fast",1396483200,04-03-2014,279,0,0,new camcorder require fast micro sandisk product always provide first class service extra cost well worth
A32WSJTH8ZWZC4,B007WTAJTO,"A. Carr ""game hater""","[0, 0]","This tiny marvel does what it claims.  The only possible problem is that it is SO small that you may lose it if you happen to drop it during handling.  But with 16 GB capacity, you won't be handling it often.",5,"Very small, huge capacity",1398729600,29-04-2014,223,0,0,tiny marvel claim possible problem small may lose happen drop handle capacity handle often
AQKJYY46WQWO7,B007WTAJTO,acballer,"[0, 0]",It does the job and the price was right. It came quickly so I'm very happy for the purchase.  I would recommend it and would but it again.,5,Works great,1390089600,19-01-2014,323,0,0,job price right come quickly happy purchase would recommend would
A2RJ7DAL63MN1F,B007WTAJTO,Ace of Sevens,"[0, 0]","I used this for a few months in my phone, then it decided to quit mounting. I lost some pictures of pets who died shortly after. I got a replacement card, but I had to send in the old one, giving up any chance of recovering its contents. The new one's worked fine, but failing after 3 months in inexcusable.",2,Worked for a few months,1391126400,31-01-2014,311,0,0,use month phone decide quit mount lose picture pet die shortly get replacement card send old one give chance recover content new one work fine fail month inexcusable
A7IRR3TLZK2C5,B007WTAJTO,ac,"[0, 0]","A memory card either works or it doesn't. This was always going to be a one star or five star review - no middle ground.The adapter is a nice bonus too, though I don't think I have anything to use it with.",5,"It works, what else is there?",1374364800,21-07-2013,505,0,0,memory card either work always go one star five star review middle groundthe adapter nice bonus though think anything use
AVVG2XSQM9W4C,B007WTAJTO,AC,"[0, 0]","I purchased this card to use in my ContourROAM2 and it works great.  All I had to do was put the card in the camera, format it, and I was good to go.  It allows me to easily record hours of 720p/60fps video without running out of space or slowing down.",5,Great MicroSDHC Card,1358121600,14-01-2013,693,0,0,purchase card use contourroam work great put card camera format good allow easily record hour pfps video without run space slow
AGA9831VH03YG,B007WTAJTO,A. Chock,"[0, 0]",Upgraded from 32GB to 64GB card for my Galaxy Note phone.  Looks like it works fine and has full capacity.  Good product.,5,Works fine in my Galaxy Note phone from AT&T,1356652800,28-12-2012,710,0,0,upgrade card galaxy note phone look like work fine full capacity good product
A3IJIFZ5HH819V,B007WTAJTO,A. Cho,"[0, 0]","everything about it was great, except for the adapter.  It was to tight i had to use a tool to take it back out of the adapter causing me to chip it. so my fault i guess, but i also bought a 16gb version and the adapter for that one was fine.",4,Great but...,1373414400,07-10-2013,427,0,0,everything great except adapter tight use tool take back adapter cause chip fault guess also buy version adapter one fine
A1M1BDJBIS2KUJ,B007WTAJTO,a_compulsive_reader,"[0, 0]","Liked the first one I purchased so much, I bought a second one. Very, very fast read and write speeds at a good price, plus SanDisk has the best software and device compatibility.  Forget thumb drives - this is your most flexible, durable option.  Use direct in your tablet or smart phone and/or buy a decent usb card reader you can load this in and, voila, instant super-speedy, upgradeable thumb drive.  Works great in my tablet and in my newer card reader - and still kicks the butt of every thumb drive I know of even when used with my old plastic USB 2.0 card reader held together with scotch tape, lol.  Have purchased several microSD cards since they first came out, from 2GB to 32GB, and all still work fine - I cannot say the same re the thumb drives I purchased during that same time period.One point - beware of counterfeits.  Samsung is the number one brand so, unfortunately, they get counterfeited a LOT.  So check reviews and only buy from a reliable seller.  I suggest buying direct from Amazon (or Memory Mogul) - I have purchased from both with no issues.",5,"Fast, reliable, compatible, buy it direct from Amazon or Memory Mogul to avoid counterfeits",1385164800,23-11-2013,380,0,0,like first one purchase much buy second one fast read write speed good price plus sandisk best software device compatibility forget thumb drive flexible durable option use direct tablet smart phone andor buy decent usb card reader load voila instant superspeedy upgradeable thumb drive work great tablet new card reader still kick butt every thumb drive know even use old plastic usb card reader hold together scotch tape lol purchase several microsd card since first come still work fine say thumb drive purchase time periodone point beware counterfeit samsung number one brand unfortunately get counterfeit lot check review buy reliable seller suggest buy direct amazon memory mogul purchase issue
A33S8906845ZOM,B007WTAJTO,acondie13,"[0, 0]",Really you can't say anything bad about it. Does what it says. Super fast and great storage size for lots of movies and such.,5,Works as advertised with no problems whatsoever.,1394928000,16-03-2014,267,0,0,really say anything bad say super fast great storage size lot movie
A1R0JMNRV7HVQM,B007WTAJTO,ACZ,"[0, 0]","Used in my phone it's plenty fast and works just like it should. Unexpectedly comes with mini and full SD card size adapters, which is nice. &#34;Fool-proof&#34; packaging or whatever it was, that was laughable. Packaging was decent it just shouldn't have bragged about being impossible to mess up when I messed it up.",4,Works just like it should in my phone,1383609600,11-05-2013,576,0,0,use phone plenty fast work like unexpectedly come mini full card size adapter nice foolproof package whatever laughable package decent brag impossible mess mess
AISPK12EZ1YKZ,B007WTAJTO,adam,"[0, 0]",This is just the standard micro SD card i would recommend this to anyone. i purchased this for my dad who is using it to expand the memory on his tablet! it shipped fast and is a slight bit cheaper than in the stores i believe.,5,just the standard micro sd,1389139200,01-08-2014,129,0,0,standard micro card would recommend anyone purchase dad use expand memory tablet ship fast slight bite cheap store believe
A1Q0TKY4A5NBFW,B007WTAJTO,Adam J. Hanson,"[0, 0]","I ordered this for my new Samsung Galaxy note II, and it works awesome! Installed it, and had no problems. I loaded all my music on it, and didn't even scratch the surface of the capacity of this card! I shouldn't ever have to worry about running outta room with this card. Highly recommended for any smartphone user!",5,Awesome micro sd card for smartphone.,1359244800,27-01-2013,680,0,0,order new samsung galaxy note work awesome instal problem load music even scratch surface capacity card ever worry run outta room card highly recommend smartphone user
A1839EV6FXY0KM,B007WTAJTO,"Adam J. Lomprey ""lompreya""","[0, 0]",Great Deal and much faster file movement.Definitely worth the purchase and sandisk has proved why they have good products.,5,Awesome!!!,1377561600,27-08-2013,468,0,0,great deal much fast file movementdefinitely worth purchase sandisk prove good product
AI1NJ92OUOM2V,B007WTAJTO,Adam M Barnes,"[0, 0]","You'll pay $10 more for these anywhere else. I was initially leery of buying another SD card on amazon. 4 years ago I did so, and the card was a fake (said it had 32 gigs when plugged into the computer, but you could only load about 11 onto it, and it would say &#34;full.&#34; Apparently there's a way to fool your computer into thinking there's more space than there is, and this is what the fake/counterfeit cards will do).Not so with this one. It's the real deal, genuine SanDisk, and contains as many GB as it says it does. I'm a very pleased customer.",5,Great product at a great price.,1392163200,02-12-2014,6,0,0,pay anywhere else initially leery buy another card amazon year ago card fake say gig plug computer could load onto would say full apparently way fool computer think space fakecounterfeit card donot one real deal genuine sandisk contain many say please customer
A2GZ925MLB71YJ,B007WTAJTO,Adam M.,"[0, 0]","Use this in my Samsung Galaxy S4.  Have had it for almost a year now, no problems, really expands your memory capabilities, easy enough to install.",5,Works well with Samsung Galaxy S4,1405209600,13-07-2014,148,0,0,use samsung galaxy almost year problem really expand memory capability easy enough install
A6K6Z2V4TUVZ7,B007WTAJTO,adam smith,"[0, 0]","32gb of storage for my new Asus tablet, what's not to love? I can't imagine paying more for the model with the upgraded storage, especially since it's usually like $100 more. This thing was cheap and works great.",5,Cheap and awesome.,1385424000,26-11-2013,377,0,0,storage new asus tablet love imagine pay model upgrade storage especially since usually like thing cheap work great
A39H670PD32Z1X,B007WTAJTO,"Adam Sorenson ""Adam""","[0, 0]","excellent quality, excellent speed. no complaints here. very easy to use, reliable and the red stripe on the front makes it easy to find on a crowded desk",5,"excellent quality, excellent speed",1386806400,12-12-2013,361,0,0,excellent quality excellent speed complaint easy use reliable red stripe front make easy find crowd desk
APAEBFIM1588A,B007WTAJTO,"Adam Wright ""Electrical Engineer""","[1, 1]","This card advertises itself as UHS1 but it's actually UHS50.This means that it will not go up to SDR104 speeds/throughput.Not necessary bad, just false advertising.",3,only capable of doing DDR50/SDR50 max,1378684800,09-09-2013,455,1,1,card advertise uhs actually uhsthis mean sdr speedsthroughputnot necessary bad false advertise
A28OTEB0YBEUC,B007WTAJTO,Adan Montiel,"[0, 0]","Purchase for HP tablet to have more memory for music download, pictures, and video.  Have enough room to store and some memory left over.",5,HP tablet use,1391817600,02-08-2014,128,0,0,purchase tablet memory music download picture video enough room store memory leave
A1U2KXV5DYXXUM,B007WTAJTO,Adanna,"[0, 0]","Can there be anything wrong with a sandisk product?  the items read to it sooooo quickly, I am quite happy,",5,love it,1388707200,01-03-2014,282,0,0,anything wrong sandisk product item read sooooo quickly quite happy
