Text,Sentiment,Source,Date/Time,User ID,Location,Confidence Score,processed_text
The website loading speed is frustratingly slow. Needs improvement.,Negative,Website Review,2023-07-17 17:15:22,user12345,Toronto,0.62,website load speed frustratingly slow need improvement
The food at this cafe exceeded my expectations. Absolutely delicious!,Positive,Food Blog,2023-07-13 19:18:53,foodlover246,Mumbai,0.92,food cafe exceed expectation absolutely delicious
I'm disappointed with the ending of this TV show. It left too many unanswered questions.,Negative,TV Show Review,2023-07-14 08:32:41,tvfan123,Los Angeles,0.66,disappoint end show leave many unanswered question
This album is a masterpiece. Every song is a work of art!,Positive,Music Review,2023-07-14 11:05:27,musicenthusiast1,London,0.93,album masterpiece every song work art
The website layout is cluttered and confusing. Difficult to find information.,Negative,Website Review,2023-07-14 14:40:05,user2468,Sydney,0.67,website layout clutter confuse difficult find information
The roller coaster at this theme park is a thrilling experience. A must-try!,Positive,Theme Park Review,2023-07-14 17:25:09,thrillseeker3,Orlando,0.91,roller coaster theme park thrill experience musttry
The product I ordered never arrived. Poor customer service.,Negative,Online Store,2023-07-15 08:50:13,buyer1234,Chicago,0.63,product order never arrive poor customer service
I'm in awe of this artist's talent. Their paintings are breathtaking!,Positive,Art Review,2023-07-15 12:30:08,artlover123,Paris,0.94,awe artist talent painting breathtaking
The food at this restaurant was disappointing. Not worth the price.,Negative,Zomato,2023-07-15 15:45:32,foodcritic246,Mumbai,0.68,food restaurant disappoint worth price
This playlist is perfect for relaxation. Soothing and calming!,Positive,Spotify,2023-07-15 18:20:17,relaxmusiclover,Berlin,0.91,playlist perfect relaxation soothe calm
The website navigation is smooth and intuitive. I found what I needed quickly.,Positive,Website Testimonial,2023-07-15 21:05:44,happyuser123,Toronto,0.88,website navigation smooth intuitive find need quickly
The ride on this cruise ship was an unforgettable experience. I loved every moment!,Positive,Travel Blog,2023-07-16 09:12:54,travelenthusiast2,Sydney,0.95,ride cruise ship unforgettable experience love every moment
The product I received was of poor quality. It broke after a few uses.,Negative,Online Store,2023-07-16 11:45:32,shopper567,Los Angeles,0.61,product receive poor quality break use
This book kept me hooked from start to finish. A captivating read!,Positive,Goodreads,2023-07-16 14:23:18,bookworm7890,London,0.90,book keep hook start finish captivate read
The customer service at this store is outstanding. They truly care about their customers.,Positive,Retail Store,2023-07-16 17:05:46,happyshopper1,New York,0.92,customer service store outstanding truly care customer
I had a frustrating experience with their technical support. No resolution provided.,Negative,Online Helpdesk,2023-07-16 19:40:27,user98765,San Francisco,0.67,frustrate experience technical support resolution provide
The hotel staff were rude and unprofessional. Terrible customer service.,Negative,Hotel Review,2023-07-17 08:50:13,traveler789,Paris,0.55,hotel staff rude unprofessional terrible customer service
The food at this restaurant was mediocre. Nothing special.,Negative,Zomato,2023-07-17 11:32:59,foodlover2468,Mumbai,0.65,food restaurant mediocre nothing special
This song always puts me in a nostalgic mood. It reminds me of good times.,Positive,Spotify,2023-07-17 14:20:05,nostalgiacat123,Berlin,0.88,song always put nostalgic mood remind good time
The website loading speed is frustratingly slow. Needs improvement.,Negative,Website Review,2023-07-17 17:15:22,user12345,Toronto,0.62,website load speed frustratingly slow need improvement
I love this product!,Positive,Twitter,2023-06-15 09:23:14,@user123,New York,0.85,love product
The service was terrible.,Negative,Yelp Reviews,2023-06-15 11:45:32,user456,Los Angeles,0.65,service terrible
This movie is amazing!,Positive,IMDb,2023-06-15 14:10:22,moviefan789,London,0.92,movie amaze
I'm so disappointed with their customer support.,Negative,Online Forum,2023-06-15 17:35:11,forumuser1,Toronto,0.78,disappoint customer support
Just had the best meal of my life!,Positive,TripAdvisor,2023-06-16 08:50:59,foodie22,Paris,0.88,best meal life
The quality of this product is subpar.,Negative,Amazon Reviews,2023-06-16 10:15:27,shopper123,San Francisco,0.72,quality product subpar
I can't stop listening to this song. It's incredible!,Positive,Spotify,2023-06-16 13:40:18,musiclover456,Berlin,0.91,stop listen song incredible
Their website is so user-friendly. Love it!,Positive,Website Testimonial,2023-06-16 16:05:36,testimonialuser1,Sydney,0.87,website userfriendly love
I loved the movie! It was fantastic!,Positive,IMDb,2023-07-02 09:12:34,user123,New York,0.92,love movie fantastic
The customer service was terrible.,Negative,Yelp Reviews,2023-07-02 10:45:21,user456,Los Angeles,0.65,customer service terrible
This book made me feel inspired. Highly recommended!,Positive,Goodreads,2023-07-02 12:34:56,bookworm789,London,0.88,book make feel inspire highly recommend
I'm extremely disappointed with their product quality.,Negative,Online Store,2023-07-02 15:21:43,shopper789,San Francisco,0.72,extremely disappoint product quality
Just had the most amazing vacation! I can't wait to go back.,Positive,TripAdvisor,2023-07-02 18:01:23,travelenthusiast1,Sydney,0.93,amaze vacation wait back
The food at this restaurant was awful. Never going back again!,Negative,Zomato,2023-07-02 20:45:37,foodlover123,Mumbai,0.55,food restaurant awful never go back
I can't stop listening to this song. It's my new favorite!,Positive,Spotify,2023-07-03 09:17:52,musiclover789,Berlin,0.91,stop listen song new favorite
Their website is so confusing and poorly designed.,Negative,Website Review,2023-07-03 11:59:18,user789,Toronto,0.68,website confuse poorly design
I had an incredible experience at the theme park. So much fun!,Positive,Trip Report,2023-07-03 14:40:05,thrillseeker1,Orlando,0.89,incredible experience theme park much fun
